message,harm_type,harm_note
1 younger sister. 12 years younger.,,
im the baby lol,,
my siblings are 9 + years older than me,,
OHIO STATE FRAUDSSSS,toxic,Aggressive insult toward a team/fanbase using derogatory language.
I will say tho... HP has fine ass women... you know just saying,toxic,Objectifying and sexualizing women in an unrelated context.
If you played Siena for Early win... you could cash... and I'm sick lmao,persuasion,Implies regret for not betting and subtly encourages others by highlighting a missed winning opportunity (FOMO).
HIGH POINT BABY!!!    They just made me a boat load of money.  LFG!!,addiction_normalization,"Celebrates big gambling win enthusiastically, normalizing the excitement of betting winnings."
SIENNA BABY!!!!   Did anybody take them??,persuasion,"Implicitly pressures others by asking if they also bet on the winning team, creating FOMO."
siena has to many white guys LOL,toxic,Racially charged comment about team composition that could be considered offensive.
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260776217889171",persuasion,Promotional message using urgency and FOMO tactics to encourage betting participation.
Sounds super fun honestly I'd love a job like that just graduated college,,
so cool of FanDuel to be showing us so much love lately. I recently won some casino bonus on a giveaway. Would be so so amazing to be able to take advantage of this promo and also hang in a chill stream. This is honestly sick don't see other sportsbooks doing this,persuasion,Message reads like promotional content designed to normalize gambling and create FOMO by emphasizing giveaways and portraying the sportsbook extremely positively.
put the house on it,persuasion,Encourages reckless gambling by suggesting betting everything ('the house') on a wager.
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260776217889171",persuasion,Uses urgency and FOMO tactics to encourage prolonged engagement with gambling platform through giveaway incentives.
I'm putting my rent on this,addiction_normalization,Normalizes reckless gambling behavior by joking about betting essential living expenses (rent) on a wager.
north carolina -2.5. who wouldnt bet them ?,persuasion,"Rhetorical pressure implying everyone should bet this line, creates FOMO and peer pressure to wager"
"howard +31.5 so free, just need Michigan to keep the lead, the over looks free at 151.5 currently 96 at halftime",persuasion,Framing bets as 'free' or guaranteed wins normalizes reckless betting and minimizes risk perception.
"Moneyline is always best on underdogs, esp",persuasion,Presenting betting strategy as a universal truth ('always best') encourages others to follow without critical evaluation.
Heels choked lol,toxic,Mocking a team's loss with 'choked' can be seen as mild toxicity toward fans of that team.
"and I have VCU in 2 dif bets making the round of 32, and another the sweet 16",addiction_normalization,Casually boasting about multiple active bets normalizes frequent gambling behavior.
OMG My Tar Heels sold 😂,toxic,Using 'sold' to mock the team's performance is mildly toxic toward the team and its fans.
I missed the first few games because I was in class.,,
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260776217889171",persuasion,Promotional message using urgency and incentives to encourage gambling participation with bonus bets giveaway.
LIKE AND REPOST! https://x.com/bridgetcase/status/2034817617668841524?s=46,persuasion,Pressuring chat to engage with promotional gambling content through imperative commands.
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260776217889171",persuasion,Creates urgency and FOMO to encourage gambling participation with bonus bet giveaway promotion.
Houston -13.5 first half spread looking free,addiction_normalization,"Describes a bet as 'free' money, promoting overconfidence and normalizing reckless gambling."
JOIN ABOVE!!!!  It is that time of the year BridgetCase Madness!!!!!!!!,persuasion,"Pressuring viewers to join a betting pool with urgent, repeated exclamation marks."
Join Above!!!!!!  It is that time of the year BridgetCase Madness!!!!!!!!,persuasion,Repeated urgent call to action pressuring viewers to participate in betting.
"I'm doing good. In a half hour, it will be my 34th Birthday",,
Look above!!!!  Join In!!!!!It is that time of the year BridgetCase Madness!!!!!!!!,persuasion,Urgent repeated pressure to join betting activity with excessive exclamation.
"I'm not gonna lie Bridget, I'm nervous about turning 34, but I'm also excited.",,
"You are late, can only join the women's bracket now..........Click above before it's too late!!!!  It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Uses urgency tactics ('before it's too late') to pressure users into joining a betting bracket.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Uses urgency tactics ('before it's too late') to pressure viewers into participating.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Repeated urgency-based pressure to participate in bracket contest.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Repeated spam using FOMO and urgency tactics to pressure participation.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Repeated spam using urgency and FOMO to pressure viewers.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Repeated urgency-based spam pressuring viewers to join before deadline.
"You are late, can only join the women's bracket now..........Click above before it's too late!!!! It is that time of the year BridgetCase Madness!!!!!!!!",persuasion,Uses urgency tactics ('before it's too late') to pressure viewers into participating in bracket betting.
LFG!!! Much love gents! Fuck Boston!! 🫡🫡,toxic,Aggressive language directed at a city/team fanbase
no you looked 28 now you look 21,,
having kids is for dummies. I'd rather use the money you'd spend on raising some little idiot on gambling,addiction_normalization,Normalizes prioritizing gambling over life responsibilities and frames excessive gambling as a positive financial choice
"taking medical advice from dummies has never failed us before. go on, V….",toxic,"Sarcastic insult calling others 'dummies' in a dismissive, mocking tone."
bettin17BIGWs,persuasion,Promotes betting with hype language ('BIG Ws') encouraging others to bet.
"fuck the mavs, watched cooper have 6 potential assists missed in a row last night",toxic,Profanity and aggressive frustration directed at a team
sports betting #1 FOLLOW YOUR FIRST MIND,persuasion,Promotes impulsive betting behavior by encouraging users to follow gut instinct rather than rational decision-making
"stiffler0097 watched 50 consecutive streams and sparked a watch streak! I clearly gamble too much if I've seen 50 straight streams. brb, calling the number",addiction_normalization,Self-deprecating joke about excessive gambling normalizes problematic betting behavior despite mention of helpline
who needs a 401k when we have Slop?? he will get us enough to retire when one of these dong parlays slap!,addiction_normalization,"Promotes reckless gambling as a retirement strategy, dismissing responsible financial planning"
I've been gambling everyday for 20 years and I still don't have a problem,addiction_normalization,"Normalizes daily gambling for decades while denying any problem, classic addiction denial messaging"
05 per mention and I'll be rich in like 2 days,,
"Good morning,  Bridget.   Was it my aging hearing as to why I thought I barely heard Mindy?",,
lets win some money chat,persuasion,Encouraging the chat collectively to gamble with a rallying call that normalizes betting as a group activity.
take Miami spread!!!!!! Miami oh isn't done yet!!,persuasion,Urgently pressuring others to place a specific bet with excessive punctuation for emphasis
if I don't win imma send you a. long email,toxic,Veiled threat toward streamer implying negative consequences if their bet loses
happy early bday - glad you're finally 21 and legal to drink,,
Lol maybe Iowa State school for the blind 😭,toxic,"Mocking comment making fun of a team by comparing them to a school for the blind, which is insensitive."
you look wonderful,toxic,"Unsolicited comment on the streamer's appearance, which can be inappropriate in a professional streaming context."
"Grew up in south NJ in the early 90s, became a Nova fan, but this is a bad matchup for them",,
we love FanDuel over here,addiction_normalization,"Promotes brand loyalty to a gambling platform, normalizing betting culture"
Fan Duel is better than all of them. We need more physical locations 🙂‍↕️,persuasion,Advocates for expansion of gambling accessibility and promotes a specific sportsbook
🚨🚨Tennessee 10 point token just hit 🚨🚨,addiction_normalization,"Celebrates a betting win with urgency emojis, normalizing gambling excitement"
can't wait for the bonus betsss💙,addiction_normalization,"Expresses excitement about gambling promotions, normalizing betting behavior"
dont miss out in this once in a lifetime opportunity!,persuasion,"Uses FOMO language ('dont miss out', 'once in a lifetime') to pressure others into betting."
Can we have a moment of silence for All those slips how took mia Money line 💀🥀💀🥀🥀🥀🥀🥀🥀💀💀💀💀💀🥀🥀🥀,addiction_normalization,"Mocks people who lost bets, normalizing gambling losses as entertainment."
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260784895547173",persuasion,Promotional message using incentives and urgency to encourage gambling participation through giveaways and extended engagement.
Ot to late to sign up ppl,persuasion,"Encouraging others to sign up for betting, creating mild urgency with 'not too late' framing."
"FanDuel is giving away $5K in Bonus Bets to our Twitch Chat both days of Round 1 Tournament play! The more you hang in chat, the more chances you got! ENTER HERE TO WIN: https://form.jotform.com/260784895547173",persuasion,Promotional message using urgency and FOMO tactics to encourage betting participation with promises of free bonus bets.
I can help with women's 🏀 lines… dm I got knowledge no one knows,persuasion,"Soliciting DMs with claims of secret betting knowledge, potentially promoting insider info or scams"
I got insider info. for women's,persuasion,Claiming insider information to lure users into betting schemes
Rico Suxs,toxic,Direct insult toward streamer or personality
new cave bet this one is a loser,toxic,Mocking or predicting failure of a bet in a discouraging manner
were all unemployed and gambling,addiction_normalization,"Normalizing gambling while unemployed, trivializing potentially harmful financial behavior"
"Check out my DraftKings Pick6 Entry! https://pick6.draftkings.com?sport=NBA&pickGroup=144153&picks=81522795,81555067,81546576&entrySource=shareLink",persuasion,"Promoting specific gambling plays with referral link, attempting to recruit others to bet"
fuck yea,toxic,"Mild profanity, though relatively low-level toxicity in context."
look at this fucking guy,toxic,"Derogatory comment directed at someone, potentially mocking or hostile."
It's for the degenerates only,addiction_normalization,Normalizes gambling addiction by embracing 'degenerate' gambling identity as positive.
Sukh can't navigate ear buds?? what an idiot,toxic,Directly insulting the streamer by calling them an idiot
Cade can eat shit,toxic,"Vulgar, aggressive dismissal of a player in hostile tone"
AND FUCK LU DORT,toxic,Aggressive profanity directed at a specific player.
Luka ain't winning shit. Tatum going to put a toe tag on him,toxic,Aggressive language with violent imagery ('toe tag') directed at a player.
Fuck the ocean show me some ASS,toxic,"Crude, sexually explicit demand unrelated to stream content."
always bet the goat,persuasion,Encourages betting as a default behavior without consideration of risk.
my birthday is 11/11,,
Vsauce looks like cover your drink,toxic,"Implies someone looks like a predator who would drug drinks, which is a hostile personal attack"
True cappers take the line,persuasion,"Gatekeeping statement implying 'real' bettors must take certain bets, creating peer pressure"
it's only a net loss if you stop depositing and give up until then there's hope,addiction_normalization,"Promotes chasing losses and continued depositing as a strategy, normalizing problematic gambling behavior."
I'm on my lunch right now trying to make more money!,addiction_normalization,"Frames gambling during work breaks as normal income-generating activity, normalizing compulsive betting behavior."
nice we love a spread sewer slide,toxic,"Uses coded language for suicide ('sewer slide') in reference to losing a bet, making light of self-harm."
I took Texas A&M +10.5 -104... FOR THE VIBES!!!,addiction_normalization,"Promotes betting based on 'vibes' rather than analysis, normalizing impulsive gambling behavior."
FUCK JULIUS RANDLE,toxic,"Aggressive profanity directed at a specific player, contributing to toxic chat environment."
lost like all those promos yesterday let's run it back,addiction_normalization,Normalizes chasing losses by immediately wanting to continue betting after losing.
whos this dumbass trying to read,toxic,Insulting another person by calling them a 'dumbass'
where is Dave? hanging out with the circle jerks?,toxic,Mocking/insulting Dave and others with crude language
mintz is the worst,toxic,Insulting a person by calling them 'the worst'
Much Love! Fuck Boston!,toxic,Profane hostile expression toward a city/team fanbase.
"it's the Magic, they'll always be dog shit 💩",toxic,Degrading insult toward a team and its fans.
Luka be a giant bitch. he cried every game in the Finals against Boston. literally cost the Mavs a chance,toxic,Vulgar insult directed at a specific player.
how did Sukh not get a T for saying Slovenian slut?? seems harsh,toxic,Uses a slur/vulgar term in reference to another person.
if I play for the Clippers I'm hitting Luka's ex up. twist the knife!,toxic,Suggests deliberately antagonizing someone through their personal relationships.
strangle each other... in game,toxic,"References violence, even if meant figuratively."
"nah he's 19 and 6,3",,
Adam Silver looks like he died 10 years ago,toxic,Mocking insult directed at NBA commissioner's appearance
Chef did comedy??? you'd think he'd be funnier,toxic,Insulting the streamer's comedic ability
I too have an 8ball. taking it to Dollhouse later,toxic,Implied drug reference (8ball of cocaine) and strip club mention in gambling context
NEEMI GOING TO BODYBAG THE BOZO!,toxic,Aggressive language using violent imagery ('bodybag') and insult ('bozo')
City 2-0. eat shit gunners,toxic,Vulgar taunt directed at rival team fans
i fucking hate kepa,toxic,Aggressive hostility toward a player
fucking loser,toxic,Direct insult/harassment toward a player
dudes so fucking bad,toxic,Continued aggressive criticism with profanity
shut the fuck up,toxic,Hostile aggression directed at another user
the difference is they're pieces of shit who like multiple parlays. let them cook!!,toxic,Insulting other bettors as 'pieces of shit'
SPJ's haircut is freaking me out. he looks like a bullied child and his bully all at the same time.,toxic,Mocking someone's appearance with bullying reference
"can't wait to turn 21 in two weeks, so many sign up bonuses 🤣",,
dumasantonn@*** if you feeling generous FanDuel,persuasion,Soliciting money/deposits from others for gambling purposes
Im happy to be Alive for one Im almost 40,,
"I am in your parents age group, but when I allow, have the energy of someone in your age group.",,
are you finally 21????,persuasion,"Implies streamer may have been underage while promoting gambling content, normalizing underage gambling exposure"
"happy birthday, hope all your parslays hit to celebrate",addiction_normalization,"Links birthday celebration to gambling outcomes, normalizing gambling as a way to celebrate life events"
don't bet on relatives chat,addiction_normalization,"Implies the user regularly bets on games involving family members, normalizing personal/emotional stakes in gambling."
"Is your mom in the house?  If so, thank her for providing us with a beautiful person to have fun with.",toxic,"Creepy, objectifying comment about the streamer with inappropriate undertones."
"My dad took me to sporting events when I was a wee lad.  He showed me games were in color, not just on black and white TV.",,
happy 21st birthday,,
happy birthday Bridget my favorite 21 year old,,
Bridget just turned 21 again,,
I'll  be 21 again in 11 days LOL,,
happy 23rd birthday bridget!,,
Born 22 Mars that's Nice (me I'm born 30 December,,
"I'm 1m90 (6,2 in US mesure)",,
hope by us hanging out with u. this is your best birthday gift of all,persuasion,Creates social pressure and emotional obligation to continue engaging with gambling stream as a 'gift'
"i was 5 in 99, just a smol kid",,
I'm almost 40 and I have been hating on birthdays tbh,,
ill be 32 this august its been 10 years since i was in college... now im sad lol,,
🚨🚨🚨🚨🚨  word around discord the bonus bets are rollin in chat 🚨🚨🚨🚨🚨🚨,persuasion,"Creates urgency and FOMO by announcing bonus bets are available, encouraging viewers to participate in betting."
thanks - when you hit over fifty they don't count anymore,,
hzappy 21st birthday bridgey,,
I'm your age times two plus one. Do the math.,,
frauds,toxic,"Dismissive insult directed at a team/players, mildly toxic commentary."
gonna get rekt by iowa state,toxic,Mocking/taunting language toward a team and its fans.
1 because F*** em that's why lol,toxic,"Mild profanity and dismissive aggression, though relatively low-level toxicity in sports banter context"
if you don't love march madness. don't be a part of this community,persuasion,Gatekeeping statement that creates pressure to conform and participate in the betting community
Ben McCollum was 17 years old when Iowa last made the Sweet Sixteen,,
also fuck you big cat Wisconsin sold,toxic,Direct insult/aggression toward the streamer (big cat)
tell that scumbag Rico bosco to lock in and RTR. Latrell Wrightsell is about to go ballistic missiles,toxic,Calling another person a 'scumbag' is a direct insult
fuck bosco,toxic,Direct hostile language targeting another person
"I'm late, has anyone mentioned how much of a bitch Brandon Ingram is yet?",toxic,Uses derogatory/vulgar language to insult a player
does Danny look blurry or am I still drunk?,addiction_normalization,Casually normalizes being intoxicated while engaging with gambling content.
I bet everything straight and then parlay everything together so if I sweep the board I have a MASSIVE day,addiction_normalization,Promotes high-risk betting strategy (betting everything) as exciting and desirable.
id stay longer but i got a final exam dawg,,
they garbage,toxic,Mildly toxic dismissive insult directed at a sportsbook.
"pick 6 link Check out my DraftKings Pick6 Entry! https://pick6.draftkings.com?sport=NBA&pickGroup=144276&picks=82288761,82295195,82258235&entrySource=shareLink",persuasion,Sharing referral/betting link to encourage others to place the same bets.
"Check out my DraftKings Pick6 Entry! https://pick6.draftkings.com?sport=NBA&pickGroup=144276&picks=82299266,82288761,82302830&entrySource=shareLink",persuasion,Repeatedly posting betting referral links to pressure others into copying bets.
FUCK YOU DANNY BURKE,toxic,Direct hostile outburst directed at the streamer.
isn't it Slovenian Slut?,toxic,"Derogatory slur used as a nickname, inappropriate and demeaning."
"if you go to a baseball game and order this, you deserve nothing in life",toxic,Hyperbolic insult directed at anyone who makes a certain food choice.
huge spread - title of Vs sextape,toxic,"Sexual joke directed at the streamer, mildly inappropriate/crude humor."
almost said dicks,toxic,"Crude sexual reference, low-level inappropriate content in chat."
ngl if we swap McCain out for less melanin I'll tail,toxic,Racially charged comment implying betting decisions based on skin color.
real ones got reed sheppard over 14.5 points,persuasion,Peer pressure tactic using 'real ones' to pressure others into making the same bet.
bet $200 on the raptors lets ride,persuasion,"Encouraging others to place a specific bet amount, promoting impulsive betting behavior."
fuck i just put all my bankroll on the raptors deposit for the mavs?,addiction_normalization,Normalizes reckless gambling by admitting to betting entire bankroll on a single wager.
(real ones got him at 33.5 pra),persuasion,Uses peer pressure language ('real ones') to imply those who didn't place this bet aren't legitimate or part of the in-group.
lmao Jabari is buttttt ass,toxic,"Crude insult directed at a player, mildly toxic language"
what's good boys let's make some money today,persuasion,Hype-building language that normalizes gambling as easy money-making
hey d corbet you perfectly embody the meaning of a degenrate frat boy gambler and i freaking love it dude,addiction_normalization,Celebrates and normalizes 'degenerate' gambling behavior as a positive identity trait.
fuck that book sorry,toxic,Mild profanity/aggression directed at a betting platform.
nah. trust your gut,persuasion,Encouraging impulsive betting behavior based on gut feeling rather than informed decision-making.
Sukh would suck you soft bro its ok,toxic,Sexual/crude comment directed at another person in the chat
I'm tailing any NBA bet you place shaggy,addiction_normalization,Blind tailing behavior promotes reckless gambling without independent analysis
Now parlay it and put your mortgage on it,persuasion,Encouraging reckless gambling by suggesting someone risk their mortgage on a bet.
@rspiel it's a show where 3 guys lose you money,addiction_normalization,"Normalizes gambling losses as casual entertainment, downplaying financial harm."
Yankees suck,toxic,"Low-level toxic comment disparaging a team, though mild."
if V was a Yankees fan id fucking stop watching this show,toxic,Mildly aggressive language with profanity expressing hostility.
gerald if V ever becomes a yankees fan shoot him,toxic,"Violent language, even if joking, directed at another person."
NRFIs are the crystal meth of gambling,addiction_normalization,"Compares a betting type to hard drugs, normalizing addictive gambling behavior as humorous"
surely there way too young,,
if youre one of us than roll with us,persuasion,Peer pressure tactic using in-group identity to encourage others to follow bets
"fuck calgary, fuck vsauce",toxic,Profane insult directed at another user in the chat
then ima end it all,toxic,"Reference to self-harm, even if hyperbolic, normalizes harmful language"
Franco on crack,toxic,Insulting remark implying drug use about the streamer
damb bro you lost 7k last night,addiction_normalization,"Casually highlighting a $7,000 loss normalizes significant gambling losses as routine."
brazzers .com,toxic,Posting adult website link is inappropriate and disruptive to the chat.
"@PlowDaCow for real, tired of donating",addiction_normalization,"Normalizes losing money gambling by framing it casually as 'donating', minimizing financial harm."
im scared to withdraw on offshores so i have money stuck in alot of them,addiction_normalization,Normalizes using multiple offshore/potentially illegal sportsbooks and being trapped with funds in them.
I've never wanted to call unc the r word so quickly into the stream,toxic,"References using a slur against another person on the stream, indicating hostile intent."
NYC a shit hole,toxic,"Mildly toxic/derogatory comment about a city, though not directed at individuals."
HE HAD TO BE HOMESLESS CRACKHEAD,toxic,Derogatory language stigmatizing homeless people and those with addiction.
Probably 9 hits of crack too with how bad San Fran is,toxic,Derogatory comment making light of drug addiction and disparaging a city.
FUCK TONY VITELLO,toxic,Aggressive outburst directed at a specific person
libtard san Fran,toxic,Political slur used as an insult
fuck yall,toxic,Hostile language directed at other chat users
Degen is gonna shove nerds in a locker,toxic,Promotes bullying behavior with physical aggression imagery
#BringBackBullying,toxic,Explicitly advocates for bullying
We gotta make Jan 6 look like a picnic,toxic,References political violence and suggests escalating beyond it
fuck 6-7,toxic,Gratuitous profanity expressing frustration
he's fucking weird,toxic,Personal insult directed at an individual
he's the worst,toxic,Personal insult directed at an individual
said some shit on his podcast about getting a boner holding his kid fucking weirdo,toxic,Spreading potentially defamatory claims and personal attacks
Granpa fucking Degen give it a rest,toxic,Mildly aggressive/dismissive comment directed at the streamer
your cholesterol is going through the roof,toxic,Personal health-related insult directed at the streamer
because they want the fans to make noise before the game you fucking dildo,toxic,Vulgar insult directed at the streamer
i can't believe me and him are only 6 years apart,,
Jeff's Depend diaper is so full,toxic,Mocking/insulting comment about the streamer's age
drinking your dumbass green juice,toxic,Mild insult directed at the streamer calling them a 'dumbass'.
hey I like my balls sucked 🤷‍♂️,toxic,Crude sexual comment inappropriate for the chat context.
i might turn into Landon Jackson 2.0 fuck degen,toxic,Expressing hostility toward the streamer with profanity
degen has officially lost his mine,toxic,Insulting the streamer by suggesting they've lost their mind
if you guys dont craft a k lay im leaving,persuasion,Pressuring others to create betting content with an ultimatum
I bet you throw a baseball like a pussy Sunday,toxic,Direct insult toward streamer using vulgar language
@hovi__ your on thin ice,toxic,Veiled threat or intimidation directed at another user.
the funniest think is when degen calls people soft while wearing his little wrist brace for his carpel tunnel 😂😂😭,toxic,Mocking the streamer's physical condition (carpal tunnel) in a derisive manner.
Ks are the pathway to financial freedom,addiction_normalization,"Frames gambling on strikeouts as a reliable path to wealth, normalizing reckless betting behavior."
skenes ks is free,addiction_normalization,"Describes a bet as 'free money,' promoting overconfidence and reckless gambling."
Dont overthink Cubs -1.5,persuasion,Pressures others to bet without analysis by dismissing careful consideration.
the nrfi hitting like crack in the 80,addiction_normalization,"Compares betting wins to hard drug use, normalizing gambling as an addictive high."
terrible take,toxic,Dismissive insult directed at another user's opinion.
Cade is ass,toxic,"Crude, dismissive insult about a player."
rav sucks at everything he does,toxic,Broad personal insult attacking someone's competence at everything they do.
Krab would the biggest dbag cop,toxic,Personal insult calling someone a derogatory term.
Jeff's nightmare is that he has a kid that is born with a wrist brace and can't play sports,toxic,Mocking disability and making insensitive jokes about a child being born with a physical limitation.
insufferable human beings,toxic,Broad insult directed at others in the chat or stream.
yall should pull up pikkit,persuasion,"Encouraging viewers to use a betting platform, promoting gambling behavior."
I've been riding this Texas team since nc state . gotta keep riding,addiction_normalization,Normalizes chasing bets and continued gambling behavior regardless of outcome.
steak i think you take every dog tonight and you end up being profitable,persuasion,Encouraging the streamer to bet on multiple underdogs with promise of profit.
it's always been FUCK Purdue,toxic,Aggressive language and hostile tone toward a team/fanbase.
Don't be gat,toxic,Appears to be a slur or derogatory term directed at others in chat.
You bald fuck,toxic,Direct insult and harassment toward another user or the streamer.
we don't have to hear Biev bitch today.  thank god,toxic,"Derogatory comment about another person, mocking and dismissive."
skipping class to watch,,
"Hawks +7.5 tomorrow evening, easy money",persuasion,Framing a bet as 'easy money' promotes overconfidence and normalizes the idea that betting is a reliable way to profit.
"buddy, I haven't worn one since I was 17",,
i hate people with peanut allergies,toxic,Expresses hatred toward people with medical conditions
time to hammer the knicks,persuasion,Urgency language encouraging others to bet heavily
"some broad ever called me to say she's pregnant is the day I pack my bags and move to Canada. enjoy raising the kid, babe",toxic,Misogynistic language ('broad') and promoting abandonment of parental responsibility
its fuck rav to start the season off,toxic,Hostile language directed at streamer
fuck ran fuck livvy fuck jolly,toxic,Aggressive language targeting multiple individuals
thats a shit wager,toxic,Mocking another user's betting choice
pistons can ligma,toxic,Crude sexual reference used as an insult toward a team/situation
download Fliff!!,persuasion,Direct promotion/pressure to download a betting platform
sengun is so ass,toxic,Crude insult directed at a player using vulgar language.
massive NBA night 10 bucks to 400$!,addiction_normalization,"Promotes unrealistic gambling returns, normalizing high-risk betting as easy money."
@watty_bugatti sub up or shut up,toxic,Aggressive dismissal telling another user to be quiet if they don't pay.
just dropped in to say .. boots on ground to see jolly get fucked,toxic,"Vulgar expression of wanting to watch someone lose/fail, hostile tone."
life on easy mode,addiction_normalization,"Frames gambling as effortless and risk-free, normalizing unrealistic expectations of easy wins."
easy mode,addiction_normalization,Reinforces the narrative that gambling is easy and predictable.
easy mode gambling,addiction_normalization,"Explicitly describes gambling as 'easy mode,' minimizing risk and promoting reckless attitudes."
legit autopilot,addiction_normalization,"Suggests gambling wins are automatic and effortless, downplaying actual risk."
easy mode snowman,addiction_normalization,"Continues the 'easy mode' framing, normalizing gambling as simple and low-risk."
tent take brewers nrfi with me,persuasion,Directly pressuring another user to place a specific bet together
The krabs in me hit the yrfi button. had to,,
I'd rather drown in bleach,toxic,Self-harm reference used as hyperbolic expression of frustration or disgust.
nats getting rat fucked,toxic,Vulgar/crude language describing a team's poor performance.
holy splooge,toxic,Crude/vulgar sexual language inappropriate for the chat environment.
fuck you all,toxic,Direct hostile insult toward the entire chat community.
That was gay,toxic,Use of 'gay' as a pejorative term is homophobic and offensive.
"nrfi just costed me dinner, now i have to eat ice cubes",addiction_normalization,"Normalizes gambling losses affecting basic needs like food, presented casually as humor."
biev looks like a racist cop,toxic,Insulting comment comparing a person to a racist stereotype.
fresh hot holy im horny,toxic,Sexually inappropriate comment not relevant to the stream content.
@Drporkchopp cash out,persuasion,Unsolicited gambling advice pressuring another user to take action on their bet.
